term,base,n_rows,volumes,pages,n_senses_for_base,terms_sharing_base,glosses,section,ref_source,qa_flags,risk
rareru²,rareru,1,B,,1,rareru|rareru '|rareru²,""" can (potential) """,R,v1,,collision
rareru,rareru,2,I,,1,rareru|rareru '|rareru²,<o~da> ;; <uru/eru>,R,v1,,collision
rashii,rashii,2,B|I,,0,,<-ppoi>,R,v1,,
rei no,rei no,1,I,,0,,,R,v1,,
"Relative Clause B ,","Relative Clause B ,",1,I,,0,,,R,v1,,
reru,reru,1,B,,0,,<rareru '>,R,v1,,
Rhetorical Question,Rhetorical Question,1,I,,0,,,R,v1,,
rokuni~nai,rokuni~nai,1,I,,0,,,R,v3,,
sa,sa,2,B|I,,0,,,S,v1,,
sā,sā,1,A,543,0,,<sate>,S,v1,,
sae,sae,2,A|I,54,0,,<dani>,S,v1,,
(de) sae,(de) sae,1,A,199,0,,<kara shite>,S,v1,,
sai,sai,1,A,502,0,,<ori (ni)>,S,v1,,
saigo made,saigo made,1,A,11,0,,<akumade mo>,S,v1,,
sai (ni),sai (ni),2,I,,0,,<ni atatte/atari>,S,v1,,
sama,sama,1,B,,0,,,S,v1,,
samo,samo,1,A,534,0,,,S,v3,,
samo nakuba,samo nakuba,1,A,307,0,,<naishi (wa)>,S,v1,,
san,san,1,B,,0,,<-sama>,S,v1,,
sappari,sappari,1,B,,0,,<amari>,S,v1,,
sara ni,sara ni,3,A,209|344|540,0,,<katsu> ;; <nao>,S,v1,,
sara ni (wa),sara ni (wa),1,A,114,0,,<hiite wa>,S,v1,,
saru koto nagara,saru koto nagara,1,,,0,,,S,,missing_ref,missing_only
saserareru,saserareru,1,B,,0,,<saseru>,S,v1,,
saseru,saseru,1,B,,0,,,B,v3,,
sashiageru,sashiageru,1,B,,0,,<ageru '>,B,v3,,
sasuga,sasuga,1,I,,0,,,B,v3,,
sasuga (ni),sasuga (ni),1,B,,0,,<yahari>,B,v1,,
sate,sate,1,A,543,0,,,B,v1,,
sazo (kashi),sazo (kashi),1,A,547,0,,,B,v1,,
sei,sei,1,I,,0,,,B,v1,,
sekkaku,sekkaku,1,B,,0,,,B,v1,,
semete,semete,1,I,,0,,,B,v1,,
seru,seru,1,B,,0,,<saseru>,B,v1,,
setsu (ni),setsu (ni),1,A,502,0,,<ori (ni)>,B,v1,,
shi,shi,2,B,,0,,,B,v1,duplicate,
shidai,shidai,2,A,128,0,,<ikan (da)>,B,v1,missing_ref,missing_only
shidai de,shidai de,1,A,412,0,,<ni ōjite/ōjita>,B,v1,,
shiite,shiite,1,A,3,0,,<aete>,B,v1,,
shika,shika,1,B,,0,,,B,v1,,
shika mo,shika mo,1,I,,0,,,B,v1,,
shika nai,shika nai,1,I,,0,,<zaru o enai>,B,v1,,
shikashi,shikashi,8,A|B|I,288|635,0,,<(no) kawari ni> ;; <daga> ;; <g> ;; <kawari ni> ;; <mottomo> ;; <sō ka to itte> ;; <to itte> ;; <tokoro ga>,B,v1,,
shikashi nagara,shikashi nagara,1,A,635,0,,<to itte>,B,v1,,
shikata ga nai te shikata ga nai,shikata ga nai te shikata ga nai,1,,,0,,,B,,missing_ref,missing_only
shimau,shimau,1,B,,0,,,B,v1,,
shinpai ga aru,shinpai ga aru,1,A,509,0,,<osore ga aru>,B,v1,,
shiru,shiru,1,B,,0,,,B,v1,,
shitagatte,shitagatte,2,A|I,745,0,,<yue ni>,B,v1,,
shunkan ni,shunkan ni,1,A,706,0,,<ya ina ya>,B,v1,,
sõda,sõda,1,B,,0,,[ hearsay ],B,v1,,
sōda²,sōda,1,B,,1,,""" looks """,B,v1,,collision
sō ka to itte,sō ka to itte,2,A|I,635,0,,<to itte>,B,v1,,
soko de ',soko de,1,I,,0,soko de '|soko de²,,B,v3,,collision
soko de²,soko de,1,I,,0,soko de '|soko de²,,B,v3,,collision
soko o,soko o,1,I,,0,,,B,v1,,
somosomo (no),somosomo (no),1,A,550,0,,,B,v1,,
sō ni naru,sō ni naru,1,I,,0,,,B,v1,,
sono mono,sono mono,1,A,553,0,,,B,v1,,
sono tame,sono tame,1,A,674,0,,<tsuite wa>,B,v1,,
sono ue,sono ue,4,A|I,209|540,0,,<katsu> ;; <sara ni> ;; <shika mo>,B,v1,,
sono ue (ni),sono ue (ni),1,A,240,0,,<kuwaete>,B,v1,,
sore dake,sore dake,1,A,557,0,,,B,v1,,
sore de,sore de,2,B|I,,0,,<soko de '>,B,v1,,
sore de ite,sore de ite,1,,,0,,<shika mo>,B,,missing_ref,missing_only
sore demo,sore demo,1,I,,0,,,B,v3,,
sore de wa,sore de wa,1,B,,0,,,B,v1,,
sore dokoroka,sore dokoroka,1,I,,0,,,B,v1,,
sore ga,sore ga,2,I,,0,,<tokoro ga>,B,v1,missing_ref,missing_only
sore kara,sore kara,2,B,,0,,<sore to>,B,v1|v3,,
sore mo,sore mo,2,,,0,,<shika mo>,B,,missing_ref,missing_only
sore nara,sore nara,1,B,,0,,,B,v1,,
sore nari ni/no,sore nari ni/no,1,A,559,0,,,B,v1,,
sore ni,sore ni,4,I,,0,,<shika mo> ;; <sono ue> ;; <sore to>,B,v3,,
sore to,sore to,1,I,,0,,,B,v1,,
soretomo,soretomo,4,A|B,16|285,0,,<aruiwa> ;; <mata wa> ;; <moshikuwa>,B,v1|v2,,
sore wa,sore wa,2,I,,0,,<sore ga>,B,v1|v3,,
sore yue,sore yue,1,A,674,0,,<tsuite wa>,B,v1,,
sorezore,sorezore,1,I,,0,,,B,v1,,
sō shita,sō shita,1,I,,0,,<kō shita>,B,v1,,
soshite,soshite,3,A|B,209|521,0,,<katsu> ;; <oyobi>,B,v1,,
subete wa~nai,subete wa~nai,1,I,,0,,<kanarazushimo>,B,v3,,
sue (ni),sue (ni),2,A,562|7,0,,<ageku (ni)>,B,v1,,
sugiru,sugiru,2,B|I,,0,,<amari>,B,v1|v3,,
sugu,sugu,1,I,,0,,,B,v1,,
sukida,sukida,1,B,,0,,,B,v1,,
sukoshi mo,sukoshi mo,1,B,,0,,<amari>,B,v1,,
sukoshi mo~nai,sukoshi mo~nai,1,A,334,0,,<nanra~nai>,B,v1,,
sukunai,sukunai,1,B,,0,,,B,v1,,
sukunakutomo,sukunakutomo,1,I,,0,,<semete>,B,v1,,
sumaseru,sumaseru,1,A,565,0,,<sumu>,B,v1,,
sumu,sumu,1,A,565,0,,,B,v1,,
sunawachi,sunawachi,1,I,,0,,<tsumari>,B,v1,,
sura,sura,2,A|I,54,0,,<dani> ;; <sae>,B,v1,,
(de) sura,(de) sura,1,A,199,0,,<kara shite>,B,v1,,
suru,suru,7,A|B|I,365,3,,""" cost ; lapse "" ;; "" do ; play "" ;; "" have "" ;; <nasu> ;; <o~suru (humble)> ;; <yaru '> ;; [ sensation ]",B,v1,,collision
suru to,suru to,1,B,,0,,,B,v1,,
tabi ni,tabi ni,2,A|I,444,0,,<ni tsuke>,T,v1,,
tachi,tachi,1,B,,0,,,T,v1,,
tada,tada,4,A|I,570|573|586,0,,<tadashi> ;; <tan ni>,T,v1,,
tada no,tada no,3,A|I,576,0,,<ni suginai> ;; <takaga>,T,v1,,
tadashi,tadashi,1,A,573,0,,,T,v1,,
tai,tai,1,B,,0,,,T,v1,,
taihen,taihen,1,I,,0,,<nakanaka>,T,v1,,
takaga,takaga,1,A,576,0,,,T,v1,,
takusan,takusan,1,B,,0,,<ōi>,T,v1,,
takute mo (~nai),takute mo (~nai),1,A,730,0,,<yo ni mo (~nai)>,T,v1,,
takute monai,takute monai,1,A,408,0,,<ni~nai>,T,v1,,
taku to mo (~nai),taku to mo (~nai),1,A,730,0,,<yo ni mo (~nai)>,T,v1,,
taku to mo~nai,taku to mo~nai,1,A,408,0,,<~ni~nai>,T,v1,,
tama ni wa,tama ni wa,1,A,252,0,,<metta ni~nai>,T,v1,,
tamaranai,tamaranai,2,B|I,,0,,<naranai>,T,v1,,
tame da,tame da,1,I,,0,,<koto ni yoru>,T,v1,,
tame (ni),tame (ni),5,A|B|I,32|745,0,,<beku> ;; <koto de> ;; <sei> ;; <yue ni>,T,v1,,
tame ni,tame ni,1,I,,0,,<ni wa>,T,v2,,
ta nari (de),ta nari (de),1,A,580,0,,,T,v1,,
tan'i de,tan'i de,1,A,582,0,,,T,v1,,
tan ni,tan ni,1,A,586,0,,,T,v1,,
tara,tara,2,B|I,,0,,<tokoro>,T,v1,,
tara do desuka,tara do desuka,1,B,,0,,,T,v1,,
tara ii ka,tara ii ka,1,A,268,0,,<mono ka²>,T,v1,,
tara ii no da ga,tara ii no da ga,1,A,268,0,,<mono ka²>,T,v1,,
tara ii noni,tara ii noni,1,A,268,0,,<mono ka²>,T,v1,,
tara sugu,tara sugu,1,I,,0,,<shidai>,T,v1,,
tara sugu (ni),tara sugu (ni),1,A,706,0,,<ya ina ya>,T,v1,,
~tari~tari,~tari~tari,1,I,,0,,<~nari~nari>,T,v1,,
~tari tari,~tari tari,1,A,720,0,,<yara yara>,T,v1,,
~tari tari suru,~tari tari suru,1,B,,0,,,T,v1,,
~tari~tari suru,~tari~tari suru,1,A,258,0,,<mo [ V ] ba mo [ V ]>,T,v1,,
tari shitara,tari shitara,1,A,728,0,,<yō mono nara>,T,v1,,
taruya,taruya,1,A,591,0,,,T,v1,,
tashika ni,tashika ni,2,A|I,359,0,,<ikanimo> ;; <naruhodo>,T,v1,,
tashika ni ga,tashika ni ga,1,I,,0,,,T,v1,,
tatoete ieba,tatoete ieba,1,A,164,0,,<itte mireba>,T,v1,,
ta tokoro de,ta tokoro de,1,I,,0,,,T,v1,,
tatta,tatta,2,A|I,576,0,,<tada> ;; <takaga>,T,v1,,
tatte,tatte,3,B|I,,0,,<kara to itte> ;; <tomo>,T,v1,,
(t) tatte ',(t) tatte,1,A,594,2,(t) tatte '|(t) tatte²,""" even if """,T,v1,,collision
(t) tatte²,(t) tatte,1,A,597,2,(t) tatte '|(t) tatte²,""" even if s.o. tries to """,T,v1,,collision
"te B ,","te B ,",1,I,,0,,,T,v1,,
te,te,1,B,,0,,<kudasai>,T,v1,,
te ageru,te ageru,1,B,,0,,<ageru>,T,v1,,
te aru,te aru,1,B,,0,,<aru '>,T,v1,,
te bakari wa irarenai,te bakari wa irarenai,1,A,600,0,,,T,v1,,
te hajimete,te hajimete,1,I,,0,,,T,v3,,
te hoshii,te hoshii,1,B,,0,,<hoshii '>,T,v1,,
te iru,te iru,1,B,,0,,<iru²>,T,v1,,
te itadaku,te itadaku,1,B,,0,,<morau²>,T,v1,,
te kara,te kara,3,B,,0,,<(no) ue de> ;; <kara²> ;; <te>,I|T,v1|v3,,
te kudasai,te kudasai,1,B,,0,,<kudasai>,I,v1,,
te kudasaru,te kudasaru,1,B,,0,,<kureru²>,I,v1,,
te miru,te miru,1,B,,0,,<miru>,I,v1,,
te mo,te mo,8,A|B|I,594|740|88,0,,<(t) tatte '> ;; <domo> ;; <kara to itte> ;; <sore demo> ;; <ta tokoro de> ;; <tomo> ;; <yō to/ga>,I,v1|v2,,
- te mote mo,- te mote mo,1,A,603,0,,,I,v1,,
te mo ii,te mo ii,1,B,,0,,,I,v1,,
te moraitai,te moraitai,1,B,,0,,<hoshii '>,I,v1,,
te morau,te morau,1,B,,0,,<morau>,I,v1,,
te naranai,te naranai,1,A,605,0,,<te shikata ga nai>,I,v1,,
ten (de),ten (de),1,I,,0,,,I,v1,,
te ne,te ne,1,B,,0,,<ne>,I,v1,,
te oku,te oku,1,B,,0,,<oku>,I,v1,,
te sashiageru,te sashiageru,1,B,,0,,<ageru2>,I,v1,,
te shikata ga nai,te shikata ga nai,3,A|B,605|678,0,,<(to i) ttara nai> ;; <tamaranai>,I,v1,,
te shimau,te shimau,1,B,,0,,<shimau>,I,v1,,
te tamaranai,te tamaranai,3,A|B,605|678,0,,<(to i) ttara nai> ;; <tamaranai> ;; <te shikata ga nai>,I,v1,,
te wa,te wa,2,A|I,725,0,,<yōde wa>,I,v1,,
te wa ikemasen,te wa ikemasen,1,A,29,0,,<bekarazu/bekarazaru>,I,v1,,
te wa ikenai,te wa ikenai,3,A|B|I,263,0,,<Imperative> ;; <mono de wa nai> ;; <wa ikenai>,I,v1,,
te wa irarenai,te wa irarenai,1,A,609,0,,,I,v1,,
te wa naranai,te wa naranai,1,B,,0,,<wa ikenai>,I,v1,,
te yaru,te yaru,1,B,,0,,<ageru2>,I,v1,,
te yokatta,te yokatta,1,B,,0,,<ba yokatta>,I,v1,,
to ',to,1,B,,1,to|to ',""" and """,I,v1,,collision
"to with if ; when ""","to with if ; when """,1,B,,0,,""" "" "" .B to ' [ quote marker ] ... .B to * """,I,v1,unbalanced,garble
to,to,6,A|I,209|353|521|618|94,1,to|to ',<-dōshi> ;; <katsu> ;; <narabi ni> ;; <oyobi> ;; <to bakari ni>,I,v1,,collision
to atte,to atte,1,A,612,0,,,I,v1,,
to atte wa,to atte wa,1,A,615,0,,,I,v1,,
to bakari ni,to bakari ni,1,A,618,0,,,I,v1,,
to demo iu beki,to demo iu beki,1,A,622,0,,,I,v1,,
to dōji ni,to dōji ni,3,A|I,706,0,,<totan (ni)> ;; <ya ina ya>,I,v1,missing_ref,missing_only
to gyaku ni,to gyaku ni,1,I,,0,,<ni hanshite/hansuru>,I,v1,,
to ieba,to ieba,2,B|I,,0,,<to iu to>,I,v1,,
to ie domo,to ie domo,1,A,624,0,,,I,v1,,
-to iito ii,-to iito ii,1,A,628,0,,,I,v1,,
to issho ni,to issho ni,1,I,,0,,<to tomo ni>,I,v1,,
to itsu (de) mo,to itsu (de) mo,1,I,,0,,<tabi ni>,I,v3,,
to itta,to itta,1,A,629,0,,,I,v1,,
to ittara,to ittara,1,B,,0,,<to ieba>,I,v1,,
to itta tokoro da,to itta tokoro da,1,A,633,0,,,I,v1,,
to itte,to itte,1,A,635,0,,,I,v1,,
to itte mo,to itte mo,1,I,,0,,,I,v3,,
to iu,to iu,4,A|B,622|629|654,0,,<to demo iu beki> ;; <to itta> ;; <to no>,I,v1,,
to iu fu ni,to iu fu ni,1,I,,0,,,I,v1,,
to iu ka,to iu ka,1,A,638,0,,,I,v1,,
to iu koto wa,to iu koto wa,2,I,,0,,<to iu no wa - koto da>,I,v1,missing_ref,missing_only
to iu noni,to iu noni,1,I,,0,,,I,v1,,
to iu no wa,to iu no wa,2,A,640|661,0,,<to wa>,I,v1,,
to iu no wa~koto da,to iu no wa~koto da,1,,,0,,,I,,missing_ref,missing_only
to iu to,to iu to,1,I,,0,,,I,v1,,
to iu yō/fu ni,to iu yō/fu ni,1,A,618,0,,<to bakari ni>,I,v1,,
to iu yōna,to iu yōna,1,A,629,0,,<to itta>,I,v1,,
to iu yōni,to iu yōni,1,I,,0,,<to iu fu ni>,I,v1,,
to iu yori,to iu yori,1,A,638,0,,<to iu ka>,I,v1,,
to iu yori (wa),to iu yori (wa),1,I,,0,,,I,v1,,
to iwan bakari ni,to iwan bakari ni,1,A,618,0,,<to bakari ni>,I,v1,,
- to iwazu~to iwazu,- to iwazu~to iwazu,1,A,643,0,,,I,v1,,
toka,toka,2,A|B,57,0,,<dano>,I,v1,,
toka de,toka de,1,I,,0,,,I,v1,,
toka 2 toka,toka 2 toka,1,,,0,,<nari~nari>,I,,missing_ref,missing_only
~2 toka toka,toka toka,1,A,470,0,,<no no to>,I,v1,,collision
~tokatoka,~tokatoka,1,A,720,0,,<~yara yara>,I,v1,,
toki,toki,3,A|B|I,502,0,,<ni atatte/atari> ;; <ori (ni)>,I,v1,,
toki ni,toki ni,2,A|I,312,0,,<naka o> ;; <sai (ni)>,I,v1|v3,,
toki (ni) wa,toki (ni) wa,1,I,,0,,<tabi ni>,I,v1,,
toki tama shika 2 nai,toki tama shika 2 nai,1,A,252,0,,<metta ni~nai>,I,v1,,
to kitara,to kitara,3,A|B,384|591,0,,<ni itatte wa> ;; <taruya> ;; <to ieba>,I,v1,,
tokoro,tokoro,1,I,,0,,,I,v1,,
tokoro da,tokoro da,2,B,,2,,""" moment "" ;; "" place """,I,v1,,collision
(ni shita) tokoro de,(ni shita) tokoro de,1,,,0,,,I,,missing_ref,missing_only
tokorode,tokorode,1,A,543,0,,<sate>,I,v1,,
tokoro ga,tokoro ga,1,I,,0,,,I,v1,,
tokoro kara,tokoro kara,1,A,645,0,,,I,v1,,
tokoro o 312,tokoro o 31,1,B,,0,,<naka o>,I,v1,,collision
toku,toku,1,B,,0,,<oku>,I,v3,,
tomo,tomo,3,A|I,88,0,,<domo> ;; <sa>,I,v1|v3,,
to mo naku,to mo naku,1,A,648,0,,,I,v1,,
to mo naru to> ni/to mo naru to,to mo naru to> ni/to mo naru to,1,,,0,,,I,,missing_ref;unbalanced,garble
to mo nashi ni,to mo nashi ni,1,A,648,0,,<to mo naku>,I,v1,,
to mo sureba,to mo sureba,1,A,651,0,,<to mo suru to>,I,v1,,
to mo suru to,to mo suru to,1,A,651,0,,,I,v1,,
to naku,to naku,1,A,648,0,,<to mo naku>,I,v1,,
to narande,to narande,1,I,,0,,<to tomo ni>,I,v1,,
to naru,to naru,1,I,,0,,,I,v3,,
to naru to,to naru to,2,I,,0,,<to suru '>,I,v1|v3,,
tonikaku,tonikaku,1,I,,0,,<nanishiro>,I,v1,,
to no,to no,1,A,654,0,,,I,v1,,
to no koto,to no koto,1,A,738,0,,<yoshi>,I,v1,,
to onajiku,to onajiku,1,I,,0,,<to tomo ni>,I,v1,,
to onaji kurai,to onaji kurai,1,A,323,0,,<-nami>,I,v1,,
toriaezu,toriaezu,1,A,126,0,,<ichiō>,I,v1,,
tōri (ni),tōri (ni),1,I,,0,,,I,v1,,
to shite,to shite,1,B,,0,,,I,v1,,
to shite mo,to shite mo,2,A,418|435,0,,<ni shiro/seyo> ;; <ni shite mo>,I,v1,,
to shite wa,to shite wa,1,B,,0,,,I,v1,,
to sugu (ni),to sugu (ni),1,A,706,0,,<ya ina ya>,I,v1,,
"to suru s o assume s t feel~; look~"" (n) to surun to suru","to suru s o assume s t feel~; look~"" (n) to surun to suru",1,,,0,,""" "" "" .... I to suru """,I,,merged_suspect;missing_ref;unbalanced,garble
to suru to,to suru to,1,I,,0,,<to naru to>,I,v3,,
totan (ni),totan (ni),2,A|I,706,0,,<ya ina ya>,I,v1,,
tōtei nai,tōtei nai,1,A,658,0,,<totemo - nai>,I,v1,,
totemo,totemo,1,I,,0,,<nakanaka>,I,v3,,
totemo nai,totemo nai,1,A,658,0,,,I,v1,,
tōtō,tōtō,2,I,,0,,<yatto>,I,v1|v3,,
to tomo ni,to tomo ni,2,I,,0,,<to dōji ni>,I,v1|v2,,
to wa,to wa,2,A,661,0,,<koto ni>,I,v1,missing_ref,missing_only
(nado) to wa,(nado) to wa,1,A,235,0,,<nante '>,I,v1,,
to wa ie,to wa ie,1,A,339,0,,,I,v1,,
to to to (wa wa wa) iu iu itte mono mono mo no no <to <ie>>> 664 664 288,to to to (wa wa wa) iu iu itte mono mono mo no no <to <ie>>> 664 664 288,1,A,664,0,,<wa to mottomo wa ie>,I,v1,merged_suspect;unbalanced,garble
to wa kagiranai,to wa kagiranai,1,I,,0,,,I,v3,,
towazu o towazu,towazu o towazu,1,I,,0,,,I,v1,,
tōzen da,tōzen da,1,A,263,0,,<mono de wa nai>,I,v1,,
tsui,tsui,1,A,668,0,,,I,v3,,
tsuide ni,tsuide ni,1,A,668,0,,,I,v1,,
tsui ni,tsui ni,1,A,671,0,,<tōtō>,I,v1,,
tsuite wa,tsuite wa,1,I,,0,,,I,v1,,
tsumari,tsumari,1,,,0,,,I,,missing_ref,missing_only
tsumori,tsumori,1,I,,0,,,I,v1,,
tsutsu,tsutsu,1,,,0,,,I,,missing_ref,missing_only
tsuzuke da,tsuzuke da,1,I,,0,,<-ppanashi>,I,v1,,
tsuzukeru,tsuzukeru,1,I,,0,,<-ppanashi>,I,v1,,
ttara,ttara,1,B,,0,,<to ieba>,I,v1,,
(to i) ttara nai,(to i) ttara nai,1,A,678,0,,,I,v1,,
"tte speaking of "" B -tte","tte speaking of "" B -tte",1,B,,0,,""" "" [ quote marker ]",I,v1,unbalanced,garble
uchi ni,uchi ni,1,B,,0,,,U,v1,,
uchi wa,uchi wa,1,I,,0,,<kagiri '>,U,v1,,
(no) ue de,(no) ue de,2,A|I,7,0,,<ageku (ni)>,U,v1,,
ue (ni),ue (ni),2,I,,0,,<sono ue>,U,v1|v3,,
ukkari,ukkari,1,A,668,0,,<tsui>,U,v1,,
uru/eru,uru/eru,1,I,,0,,,U,v1,,
Vinf nonpast na,Vinf nonpast na,1,A,29,0,,<bekarazu/bekara- zaru>,V,v1,,
Vmasu,Vmasu,1,I,,0,,,V,v1,,
Vmasu as a Noun,Vmasu as a Noun,1,I,,0,,,V,v1,,
Vpot hazu ga nai,Vpot hazu ga nai,1,A,34,0,,<beku mo nai>,V,v1,,
Vpot wake ga nai,Vpot wake ga nai,1,A,34,0,,<beku mo nai>,V,v1,,
Vte,Vte,1,I,,0,,<Vmasu>,V,v1,,
Vte kudasai,Vte kudasai,1,A,377,0,,<negau/negaimasu>,V,v1,,
wa ',wa,1,B,,0,wa|wa '|wa²,[ theme ],W,v1,,collision
wa²,wa,1,B,,0,wa|wa '|wa²,[ female speech marker ],W,v1,,collision
wa,wa,3,A|I,591,0,wa|wa '|wa²,<rei no> ;; <taruya>,W,v1|v3,,collision
wa da,wa da,1,B,,0,,,W,v1,,
wa- desu,wa- desu,1,B,,0,,<~wa da>,W,v1,,
wa 2 ga,wa 2 ga,1,B,,0,,,W,v1,,
~wa wa,~wa wa,1,A,701,0,,,W,v1,,
wa are,wa are,1,A,683,0,,,W,v1,,
wa atte mo,wa atte mo,1,A,683,0,,<wa are>,W,v1,,
wa betsu to shite,wa betsu to shite,1,A,685,0,,,W,v1,,
wa ii to shite mo,wa ii to shite mo,1,A,691,0,,,W,v1,,
wa ikenai,wa ikenai,1,B,,0,,,W,v1,,
wa iu made mo naku,wa iu made mo naku,2,A|I,694,0,,<wa oroka>,W,v1,,
wa iu ni oyobazu,wa iu ni oyobazu,2,A|I,694,0,,<wa iu made mo naku> ;; <wa oroka>,W,v1,,
"wake da Dica B ,","wake da Dica B ,",1,I,,0,,,W,v1,,
wake de wa nai,wake de wa nai,1,I,,0,,,W,v1,,
wake ga nai,wake ga nai,1,,,0,,,W,,missing_ref,missing_only
wake ni wa ikanai,wake ni wa ikanai,2,A|I,609,0,,<te wa irarenai>,W,v1,,
wakeru,wakeru,1,B,,0,,,W,v1,,
wa mochiron,wa mochiron,2,A|I,694,0,,<wa iu made mo naku> ;; <wa oroka>,W,v1,,
wa naranai,wa naranai,1,B,,0,,<wa ikenai>,W,v1,,
wa oroka,wa oroka,1,A,694,0,,,W,v1,,
wariai,wariai,1,I,,0,,<kekkō>,W,v1,,
wari ni (wa),wari ni (wa),1,A,697,0,,,W,v1,,
wa sate oki,wa sate oki,1,A,685,0,,<wa betsu to shite>,W,v1,,
wa shikata ga nai to shite mo <wa ii,wa shikata ga nai to shite mo <wa ii,1,,,0,,,W,,merged_suspect;missing_ref;unbalanced,garble
to shite mo>,to shite mo>,1,A,691,0,,,W,v1,unbalanced,garble
wazawaza,wazawaza,1,B,,0,,<sekkaku>,W,v1,,
wazuka,wazuka,1,B,,0,,<sukunai>,W,v1,,
ya,ya,5,A|B,209|57|706,2,,""" and "" ;; "" store "" ;; <dano> ;; <katsu> ;; <ya ina ya>",Y,v1,,collision
~ya~ya,~ya~ya,1,A,720,0,,<~yara~yara>,Y,v1,,
yahari,yahari,2,B|I,,0,,<sasuga>,Y,v1,,
yahari/yappari,yahari/yappari,2,A,111|36,0,,<beku shite> ;; <hatashite>,Y,v1,,
ya ina ya,ya ina ya,1,A,706,0,,,Y,v1,,
yappari,yappari,1,B,,0,,<yahari>,Y,v1,,
yara,yara,1,A,715,0,,,Y,v1,,
yarayara,yarayara,1,A,720,0,,,Y,v1,,
~yara~yara,~yara~yara,1,A,701,0,,<~wa~wa>,Y,v1,,
yaru¹,yaru,1,I,,0,yaru|yaru²|yaru¹,,Y,v1,,collision
yaru²,yaru,1,I,,0,yaru|yaru²|yaru¹,,Y,v1,,collision
yaru,yaru,2,B,,0,yaru|yaru²|yaru¹,<ageru '> ;; <suru²>,Y,v1,,collision
yasui,yasui,2,B|I,,0,,<-ppoi>,Y,v1|v3,,
yatto,yatto,2,I,,0,,<tōtō>,Y,v1|v3,,
yaya mo sureba,yaya mo sureba,1,A,651,0,,<to mo suru to>,Y,v1,,
yaya mo suru to,yaya mo suru to,1,A,651,0,,<to mo suru to>,Y,v1,,
yo,yo,2,I,,0,,<sa> ;; <zo>,Y,v1,,
yō,yō,3,A|I,291,2,,""" a way of doing s.t. "" ;; "" probably ; likely "" ;; <-muke>",Y,v1|v3,,collision
yōda,yōda,2,A|B,103,0,,<gotoshi>,Y,v1,,
yōde wa,yōde wa,1,A,725,0,,,Y,v1,,
yō mono nara,yō mono nara,1,A,728,0,,,Y,v1,,
yomoya,yomoya,1,I,,0,,<masaka>,Y,v2,,
yona,yona,1,I,,0,,<-ppoi>,Y,v3,,
yo ne,yo ne,1,B,,0,,<ne>,Y,v1,,
yoni “ so that ”,yoni “ so that ”,1,B,,0,,,Y,v1,,
yōni,yōni,4,B|I,,1,,""" like "" ;; <-kata o suru> ;; <fu ni> ;; <tōri (ni)>",Y,v1|v2|v3,,
yōni iu,yōni iu,1,B,,0,,,Y,v1,,
yo ni mo (~nai),yo ni mo (~nai),1,A,730,0,,,Y,v1,,
yō ni mo~nai,yō ni mo~nai,1,A,408,0,,<~ni~nai>,Y,v1,,
yōni naru,yōni naru,1,B,,0,,,Y,v1,,
yōni suru,yōni suru,1,B,,0,,,Y,v1,,
yori,yori,3,A|B|I,540,2,yori|yori²,""" than "" ;; <sara ni>",Y,v1,,collision
yori²,yori,1,B,,2,yori|yori²,""" side """,Y,v1,,collision
yori/no hoka (ni) (wa)~nai,yori/no hoka (ni) (wa)~nai,1,A,734,0,,,Y,v1,,
yoru to ni yoru to,yoru to ni yoru to,1,,,0,,,Y,,missing_ref,missing_only
yoshi,yoshi,1,A,738,0,,,Y,v1,,
yōsuru ni,yōsuru ni,1,I,,0,,<tsumari>,Y,v1,,
yō to omou,yō to omou,1,B,,0,,,Y,v1,,
yō to suru,yō to suru,2,A|B,474,0,,<miru> ;; <n to suru>,Y,v1,,
yo to/ga,yo to/ga,1,A,740,0,,,Y,v1,,
yō tomo,yō tomo,1,A,740,0,,<yō to/ga>,Y,v1,,
yō ttatte,yō ttatte,1,A,730,0,,<yō ni mo (~nai)>,Y,v1,,
yōyaku,yōyaku,1,I,,0,,<yatto>,Y,v1,,
yue ni,yue ni,1,A,745,0,,,Y,v1,,
zaru o enai,zaru o enai,2,A,734,0,,<yori/no hoka (ni) (wa)~nai>,Z,v1|v2,,
zenbu wa nai,zenbu wa nai,1,I,,0,,<kanarazushimo>,Z,v1,,
zenzen,zenzen,1,B,,0,,<amari>,Z,v1,,
zenzen~nai,zenzen~nai,4,A,159|252|328|334,0,,<issai~nai> ;; <metta ni~nai> ;; <nani- nai> ;; <nanra~nai>,Z,v1,,
zettaini,zettaini,1,A,750,0,,<zu ni wa okanai>,Z,v1,,
ZO,ZO,1,I,,0,,,Z,v1,,
zu,zu,2,I,,0,,<-naku> ;; <-nu>,Z,v1|v3,,
zu ni,zu ni,4,A|B|I,362|753,0,,<(no) kawari ni> ;; <-nai de> ;; <nashi ni> ;; <zu shite>,Z,v1,,
zu ni wa irarenai,zu ni wa irarenai,1,A,609,0,,<te wa irarenai>,Z,v1,,
zu ni wa okanai,zu ni wa okanai,1,A,750,0,,,Z,v1,,
zu ni wa orarenai/orenai/irarenai,zu ni wa orarenai/orenai/irarenai,1,,,0,,,Z,,missing_ref,missing_only
zurai,zurai,1,I,,0,,<-gatai>,Z,v1,,
