term,slug,canonical,reading,meaning,senses,register,keigo,freq,jlpt,family,candidate_prereqs,fold_into_parent,confidence,review_reason,src_risk,src_volumes,src_glosses
rei no,rei-no,例の,れいの,that (we both know about); the usual; the aforementioned,,casual-spoken|polite-spoken|written-modern,none,uncommon,N2,other,,,high,prenominal 例の,,I,
reru,reru,れる,れる,passive/potential/spontaneous/honorific auxiliary (godan verbs),,casual-spoken|polite-spoken|written-modern,none,common,N4,passive,nai-form,,med,れる carries passive/potential/spontaneous/honorific; tagged passive as primary; cf rareru,,B,<rareru '>
sa,sa,さ,さ,nominalizing suffix (degree: 高さ); also assertive/casual sentence-final particle,"[{""label"":""nominalizer"",""canonical"":""Aさ"",""meaning"":""turns an adjective into a noun of degree (高さ 'height')""},{""label"":""final-particle"",""canonical"":""〜さ"",""meaning"":""casual assertive sentence-final particle""}]",casual-spoken|polite-spoken|written-modern,none,common,N4,nominalizer,,,med,multi-sense: degree nominalizer さ + casual final particle さ; kept as senses,,B|I,
sae,sae,さえ,さえ,even; if only ~ (さえ〜ば conditional),"[{""label"":""even"",""canonical"":""〜さえ"",""meaning"":""even (extreme example)""},{""label"":""if-only"",""canonical"":""〜さえ〜ば"",""meaning"":""if only ~, then (sufficient condition)""}]",casual-spoken|polite-spoken|written-modern,none,common,N3,particle,,,high,,,A|I,<dani>
sai,sai,際,さい,occasion; time (formal 〜際 'when/on the occasion of'),,polite-spoken|written-modern,none,uncommon,N2,connective,,,med,borderline lexical 際; grammatical as 際(に) temporal,,A,<ori (ni)>
sai (ni),sai-ni,際に,さいに,on the occasion of; when; at the time of ~ (formal),,polite-spoken|written-modern,none,common,N2,connective,sai,,high,dup-suspect with sai,,I,<ni atatte/atari>
saigo made,saigo-made,最後まで,さいごまで,until the very end; to the last,,casual-spoken|polite-spoken|written-modern,none,uncommon,N3,other,,,low,compositional 最後まで; borderline lexical — distinct from たら最後 idiom,,A,<akumade mo>
sama,sama,様,さま,"honorific title suffix (Mr/Ms, very polite); also 〜さま 'state/manner'",,polite-spoken|written-modern,none,common,N4,other,,,med,honorific address suffix 様; politer than さん,,B,
samo,samo,さも,さも,truly; as if; just as though (さも〜らしい/そうに),,written-modern|literary,none,rare,N1,adverbial,,,med,adverb さも 'as if'; pairs with らしい/そうに,,A,
samo nakuba,samo-nakuba,さもなくば,さもなくば,otherwise; if not (so) ~,,written-modern|literary,none,rare,N1,connective,,,high,さもないと/さもなければ = related variants,,A,<naishi (wa)>
san,san,さん,さん,polite title suffix (Mr/Ms/Mrs) attached to names,,casual-spoken|polite-spoken|written-modern,none,essential,N5,other,,,high,polite address suffix; cf 様 (sama),,B,<-sama>
sappari,sappari,さっぱり,さっぱり,(not) at all (さっぱり〜ない); also 'refreshed/clean',,casual-spoken|polite-spoken,none,common,N3,adverbial,,,high,,,B,<amari>
sara ni,sara-ni,さらに,さらに,furthermore; even more; in addition,,casual-spoken|polite-spoken|written-modern,none,common,N2,connective,,,high,,,A,<katsu> ;; <nao>
sara ni (wa),sara-ni-wa,さらには,さらには,moreover; furthermore; and on top of that,,polite-spoken|written-modern,none,uncommon,N2,connective,sara-ni,,high,emphatic variant of sara-ni,,A,<hiite wa>
saru koto nagara,saru-koto-nagara,さることながら,さることながら,needless to say; not only ~ but also (もさることながら),,written-modern|literary,none,rare,N1,connective,,,med,usually 〜もさることながら; reconstructed from missing_only row,missing_only,,
saserareru,saserareru,させられる,させられる,be made/forced to do (causative-passive),,casual-spoken|polite-spoken|written-modern,none,common,N3,causative,saseru,,high,causative-passive; combines saseru + passive,,B,<saseru>
saseru,saseru,させる,させる,make/let (someone) do ~ (causative),,casual-spoken|polite-spoken|written-modern,none,common,N4,causative,,,high,ichidan/する causative; cf せる for godan,,B,
sashiageru,sashiageru,さしあげる,さしあげる,"to give (humble, to a superior); also てさしあげる 'do for' (humble)",,polite-spoken|written-modern,kenjougo,common,N4,other,,,high,humble give; てさしあげる benefactive is a related auxiliary,,B,<ageru '>
sasuga,sasuga,さすが,さすが,as expected (impressively); just as one would expect,,casual-spoken|polite-spoken|written-modern,none,common,N2,adverbial,,,high,,,I,
sasuga (ni),sasuga-ni,さすがに,さすがに,as one would expect; even ~ (さすがに〜ない 'even ~ not'),,casual-spoken|polite-spoken|written-modern,none,common,N2,adverbial,sasuga,,high,dup-suspect with sasuga,,B,<yahari>
sate,sate,さて,さて,well then; now (topic-shifting discourse connective),,casual-spoken|polite-spoken|written-modern,none,common,N3,connective,,,high,,,A,
sazo (kashi),sazo,さぞ,さぞ,surely; I'm sure (~ must be...) — paired with conjecture だろう,,polite-spoken|written-modern,none,uncommon,N1,adverbial,,,high,さぞかし = emphatic variant,,A,
sei,sei,せい,せい,fault; because of (a bad result: せいで/せいか),,casual-spoken|polite-spoken|written-modern,none,common,N3,connective,,,high,せいで negative cause; cf おかげで positive,,I,
sekkaku,sekkaku,せっかく,せっかく,with effort; took the trouble to; long-awaited (and so should not go to waste),,casual-spoken|polite-spoken|written-modern,none,common,N3,adverbial,,,high,,,B,
semete,semete,せめて,せめて,at least (if nothing more),,casual-spoken|polite-spoken|written-modern,none,common,N3,adverbial,,,high,,,I,
seru,seru,せる,せる,causative auxiliary (make/let someone do) for 五段 verbs; paired with させる,,casual-spoken|polite-spoken|written-modern,none,common,N4,causative,nai-form,,high,せる/させる causative pair,,B,<saseru>
setsu (ni),setsu-ni,節に,せつに,on the occasion of; at the time when (formal),,polite-spoken|written-modern,none,uncommon,N1,connective,,,med,formal 〜節に 'on the occasion of'; reading reconstructed,,A,<ori (ni)>
shi,shi,し,し,and (what's more); listing reasons/states (non-exhaustive),,casual-spoken|polite-spoken|written-modern,none,common,N4,connective,,,high,,,B,
shidai,shidai,次第,しだい,depending on; as soon as (V-stem次第); the circumstances,,polite-spoken|written-modern,none,uncommon,N2,connective,,,med,multi-sense しだい (depending on / as-soon-as / circumstances); bare romaji,missing_only,A,<ikan (da)>
shidai de,shidai-de,次第で,しだいで,depending on; according to,,polite-spoken|written-modern,none,uncommon,N2,connective,shidai,,high,,,A,<ni ōjite/ōjita>
shiite,shiite,強いて,しいて,forcibly; daring to; if pressed (to say),,polite-spoken|written-modern,none,uncommon,N1,adverbial,,,high,,,A,<aete>
shika,shika,しか,しか,only; nothing but (always with a negative predicate),,casual-spoken|polite-spoken|written-modern,none,essential,N5,particle,nai-form,,high,,,B,
shika mo,shika-mo,しかも,しかも,moreover; what's more; and yet,,casual-spoken|polite-spoken|written-modern,none,common,N2,connective,,,high,,,I,
shika nai,shika-nai,しかない,しかない,have no choice but to; there is only,,casual-spoken|polite-spoken|written-modern,none,common,N3,modality,shika,,high,,,I,<zaru o enai>
shikashi,shikashi,しかし,しかし,but; however,,casual-spoken|polite-spoken|written-modern,none,essential,N4,connective,,,high,,,A|B|I,<(no) kawari ni> ;; <daga> ;; <kawari ni> ;; <mottomo> ;; <to itte> ;; <tokoro ga>
shikashi nagara,shikashi-nagara,しかしながら,しかしながら,nevertheless; however (formal),,polite-spoken|written-modern,none,uncommon,N1,connective,shikashi,,high,,,A,<to itte>
shikata ga nai te shikata ga nai,shikata-ga-nai,仕方がない,しかたがない,it can't be helped; there's no use (in ~ing),,casual-spoken|polite-spoken|written-modern,none,common,N3,modality,,,low,OCR-fused しかたがない + てしかたがない; te-form variant = te-shikata-ga-nai,missing_only,,
shimau,shimau,しまう,しまう,finish completely; (regrettably) end up ~ — basis of てしまう,,casual-spoken|polite-spoken|written-modern,none,essential,N4,aspect,,,high,てしまう auxiliary = te-shimau,,B,
shinpai ga aru,shinpai-ga-aru,心配がある,しんぱいがある,there is a worry/risk that ~,,polite-spoken|written-modern,none,uncommon,N1,modality,,,med,borderline compositional 'there is a fear that'; cf osore-ga-aru,,A,<osore ga aru>
shiru,shiru,知る,しる,to know; come to know (notable for the 知っている state form),,casual-spoken|polite-spoken|written-modern,none,common,N5,other,te-iru,,med,borderline lexical 知る; kept for the 知っている aspect form,,B,
shitagatte,shitagatte,従って,したがって,therefore; consequently (formal),,polite-spoken|written-modern,none,common,N2,connective,,,high,,,A|I,<yue ni>
shunkan ni,shunkan-ni,瞬間に,しゅんかんに,the moment that; just as,,casual-spoken|polite-spoken|written-modern,none,uncommon,N2,connective,,,high,,,A,<ya ina ya>
soko o,soko-o,そこを,そこを,(do it) despite that; overcoming the circumstances (appeal),,casual-spoken|polite-spoken,none,uncommon,N1,particle,,,med,そこを 'despite the circumstances' appeal use,,I,
somosomo (no),somosomo,そもそも,そもそも,in the first place; originally; to begin with,,casual-spoken|polite-spoken|written-modern,none,common,N2,adverbial,,,high,,,A,
sono mono,sono-mono,そのもの,そのもの,"itself; the very ~ (emphatic, utterly)",,casual-spoken|polite-spoken|written-modern,none,uncommon,N2,adverbial,,,med,emphatic そのもの 'itself / utterly',,A,
sono tame,sono-tame,そのため,そのため,therefore; for that reason,,casual-spoken|polite-spoken|written-modern,none,common,N3,connective,tame-ni,,high,,,A,<tsuite wa>
sono ue,sono-ue,その上,そのうえ,moreover; on top of that; in addition,,casual-spoken|polite-spoken|written-modern,none,common,N2,connective,,,high,,,A|I,<katsu> ;; <sara ni> ;; <shika mo>
sono ue (ni),sono-ue-ni,その上に,そのうえに,on top of that; in addition (variant of その上),,casual-spoken|polite-spoken|written-modern,none,common,N2,connective,sono-ue,,med,near-dup of sono-ue; adds に variant,,A,<kuwaete>
sore dake,sore-dake,それだけ,それだけ,that much; only that; to that extent,,casual-spoken|polite-spoken|written-modern,none,common,N3,adverbial,,,high,,,A,
sore de,sore-de,それで,それで,and so; therefore; and then (prompting),,casual-spoken|polite-spoken|written-modern,none,common,N4,connective,,,high,,,B|I,<soko de '>
sore de ite,sore-de-ite,それでいて,それでいて,and yet; nevertheless,,casual-spoken|polite-spoken|written-modern,none,uncommon,N1,connective,,,high,,missing_only,,<shika mo>
sore de wa,sore-de-wa,それでは,それでは,well then; in that case,,casual-spoken|polite-spoken|written-modern,none,common,N4,connective,,,high,,,B,
sore demo,sore-demo,それでも,それでも,even so; nevertheless,,casual-spoken|polite-spoken|written-modern,none,common,N4,connective,,,high,,,I,
sore dokoroka,sore-dokoroka,それどころか,それどころか,far from it; on the contrary,,casual-spoken|polite-spoken|written-modern,none,uncommon,N2,connective,,,high,,,I,
sore ga,sore-ga,それが,それが,but (contrary to expectation); the thing is ~,,casual-spoken|polite-spoken,none,uncommon,N2,connective,,,med,それが contrastive discourse use,missing_only,I,<tokoro ga>
sore kara,sore-kara,それから,それから,and then; after that; and also,,casual-spoken|polite-spoken|written-modern,none,essential,N5,connective,,,high,,,B,<sore to>
sore mo,sore-mo,それも,それも,and what's more; that too (additive emphasis),,casual-spoken|polite-spoken|written-modern,none,uncommon,N2,connective,,,med,それも additive emphasis,missing_only,,<shika mo>
sore nara,sore-nara,それなら,それなら,if that's the case; then,,casual-spoken|polite-spoken|written-modern,none,common,N4,connective,,,high,,,B,
sore nari ni/no,sore-nari-ni,それなりに,それなりに,in its own way; to that extent; accordingly,,casual-spoken|polite-spoken|written-modern,none,uncommon,N1,adverbial,,,high,,,A,
sore ni,sore-ni,それに,それに,besides; moreover; in addition,,casual-spoken|polite-spoken|written-modern,none,common,N3,connective,,,high,,,I,<shika mo> ;; <sono ue> ;; <sore to>
sore to,sore-to,それと,それと,and; also; on top of that (adding an item),,casual-spoken|polite-spoken|written-modern,none,common,N3,connective,,,high,,,I,
sore wa,sore-wa,それは,それは,as for that; that ~ (emphatic/topic 'that's really'),,casual-spoken|polite-spoken|written-modern,none,uncommon,N2,particle,,,med,それは emphatic/topic use; cf sore-ga,,I,<sore ga>
sore yue,sore-yue,それゆえ,それゆえ,therefore; hence (formal/literary),,written-modern|literary,none,uncommon,N1,connective,yue-ni,,high,,,A,<tsuite wa>
soretomo,soretomo,それとも,それとも,or (else) — alternatives in a question,,casual-spoken|polite-spoken|written-modern,none,common,N3,connective,,,high,,,A|B,<aruiwa> ;; <mata wa> ;; <moshikuwa>
sorezore,sorezore,それぞれ,それぞれ,each; respectively,,casual-spoken|polite-spoken|written-modern,none,common,N3,adverbial,,,high,,,I,
soshite,soshite,そして,そして,and; and then,,casual-spoken|polite-spoken|written-modern,none,essential,N5,connective,,,high,,,A|B,<katsu> ;; <oyobi>
subete wa~nai,subete-wa-nai,全ては〜ない,すべては〜ない,not all; not entirely (partial negation),,polite-spoken|written-modern,none,uncommon,N2,modality,nai-form,,med,partial-negation すべては〜ない,,I,<kanarazushimo>
sue (ni),sue-ni,末に,すえに,"after (much ~); finally, as the end result of",,polite-spoken|written-modern,none,uncommon,N2,connective,ta-form,,high,,,A,<ageku (ni)>
sugiru,sugiru,すぎる,すぎる,too much; excessively (V-stem/Adj + すぎる),,casual-spoken|polite-spoken|written-modern,none,common,N5,auxiliary,masu-stem,,high,,,B|I,<amari>
sugu,sugu,すぐ,すぐ,immediately; right away; soon,,casual-spoken|polite-spoken|written-modern,none,essential,N5,adverbial,,,high,,,I,
sukida,sukida,好きだ,すきだ,to like (な-adjective predicate; object marked with が),,casual-spoken|polite-spoken|written-modern,none,common,N5,other,,,med,borderline lexical 好きだ; kept for が-marked object pattern,,B,
sukoshi mo,sukoshi-mo,少しも,すこしも,(not) at all; not in the least (with negative),,casual-spoken|polite-spoken|written-modern,none,common,N3,adverbial,nai-form,,high,,,B,<amari>
sukoshi mo~nai,sukoshi-mo-nai,少しも〜ない,すこしも〜ない,not in the least; not at all (explicit negative form),,casual-spoken|polite-spoken|written-modern,none,common,N3,adverbial,sukoshi-mo,,med,dup-suspect of sukoshi-mo (explicit 〜ない),,A,<nanra~nai>
sukunai,sukunai,少ない,すくない,few; little; scarce,,casual-spoken|polite-spoken|written-modern,none,common,N5,other,,,low,lexical adjective 少ない; candidate to drop,,B,
sukunakutomo,sukunakutomo,少なくとも,すくなくとも,at least,,polite-spoken|written-modern,none,common,N2,adverbial,,,high,,,I,<semete>
sumaseru,sumaseru,済ませる,すませる,to finish/settle (something); make do with,,casual-spoken|polite-spoken|written-modern,none,uncommon,N2,other,sumu,,low,lexical/transitive of 済む; candidate to fold into sumu,,A,<sumu>
sumu,sumu,済む,すむ,to be finished; can get by (notable for 〜ずに済む / 〜ないで済む 'get by without'),,casual-spoken|polite-spoken|written-modern,none,uncommon,N2,other,,,med,kept for grammatical 〜ずに済む/〜ないで済む,,A,
sunawachi,sunawachi,すなわち,すなわち,namely; that is to say,,polite-spoken|written-modern,none,uncommon,N1,connective,,,high,,,I,<tsumari>
sura,sura,すら,すら,"even (emphatic, formal/literary)",,written-modern|literary,none,uncommon,N1,particle,,,high,,,A|I,<dani> ;; <sae>
suru to,suru-to,すると,すると,thereupon; and then; if that's so,,casual-spoken|polite-spoken|written-modern,none,common,N3,connective,,,high,,,B,
sõda,souda,そうだ,そうだ,I hear that; reportedly (hearsay) — plain form + そうだ,,casual-spoken|polite-spoken|written-modern,none,common,N4,quotation,,,high,hearsay そうだ; distinct from appearance/looks そうだ,,B,[ hearsay ]
sā,saa,さあ,さあ,well; come now; let's (hesitation / urging),,casual-spoken|polite-spoken,none,common,N3,interjection,,,high,,,A,<sate>
sō ka to itte,sou-ka-to-itte,そうかといって,そうかといって,even so; but then again; that said,,casual-spoken|polite-spoken|written-modern,none,uncommon,N1,connective,,,high,,,A|I,<to itte>
sō ni naru,sou-ni-naru,そうになる,そうになる,almost ~; came close to ~ing (on the verge),,casual-spoken|polite-spoken|written-modern,none,common,N3,modality,masu-stem,,high,〜そうになる 'on the verge of',,I,
sō shita,sou-shita,そうした,そうした,such; that kind of (adnominal),,casual-spoken|polite-spoken|written-modern,none,uncommon,N2,adverbial,,,med,adnominal そうした 'such',,I,<kō shita>
ta nari (de),ta-nari-de,たなり,たなり,remaining in the state of (having done); just as ~,,written-modern|literary,none,uncommon,N1,connective,ta-form,,med,〜たなり(で) 'left/remaining in a state'; cf mama,,A,
ta tokoro de,ta-tokoro-de,たところで,たところで,even if (one did); no matter how ~ (futile),,polite-spoken|written-modern,none,uncommon,N1,connective,ta-form|tokoro,,high,,,I,
tabi ni,tabi-ni,度に,たびに,every time; whenever,,casual-spoken|polite-spoken|written-modern,none,common,N3,connective,,,high,,,A|I,<ni tsuke>
tachi,tachi,たち,たち,"plural suffix for people (私たち, 子供たち)",,casual-spoken|polite-spoken|written-modern,none,common,N5,other,,,high,pluralizing suffix たち,,B,
tada,tada,ただ,ただ,only; merely; just — also 'but; however' as a connective,,casual-spoken|polite-spoken|written-modern,none,common,N3,connective,,,med,multi-sense ただ (merely / but),,A|I,<tadashi> ;; <tan ni>
tada no,tada-no,ただの,ただの,mere; just an ordinary ~,,casual-spoken|polite-spoken|written-modern,none,uncommon,N2,adverbial,,,high,,,A|I,<ni suginai> ;; <takaga>
tadashi,tadashi,ただし,ただし,however; provided that (proviso),,polite-spoken|written-modern,none,uncommon,N2,connective,,,high,,,A,
tai,tai,たい,たい,want to (do) — V-stem + たい,,casual-spoken|polite-spoken|written-modern,none,essential,N5,modality,masu-stem,,high,,,B,
taihen,taihen,大変,たいへん,very; terribly; awfully (intensifier),,casual-spoken|polite-spoken|written-modern,none,common,N4,adverbial,,,high,,,I,<nakanaka>
takaga,takaga,たかが,たかが,merely; only; at most (dismissive),,casual-spoken|polite-spoken|written-modern,none,uncommon,N1,adverbial,,,high,,,A,
taku to mo (~nai),taku-to-mo-nai,たくとも〜ない,たくとも〜ない,"even if one wants to ~, (cannot)",,written-modern|literary,none,rare,N1,modality,tai,,low,"OCR variant of 〜（し）たくても〜ない 'even wanting to, can't'; cf takute-mo-nai",,A,<yo ni mo (~nai)>
takusan,takusan,たくさん,たくさん,a lot; many; plenty,,casual-spoken|polite-spoken|written-modern,none,common,N5,adverbial,,,med,borderline lexical たくさん 'many/a lot',,B,<ōi>
takute mo (~nai),takute-mo-nai,たくても〜ない,たくても〜ない,"even if one wants to ~, (cannot)",,casual-spoken|polite-spoken|written-modern,none,uncommon,N1,modality,tai|te-mo,,med,"〜たくても〜ない 'even wanting to, cannot'; cf taku-to-mo-nai",,A,<yo ni mo (~nai)>
tama ni wa,tama-ni-wa,たまには,たまには,once in a while; occasionally,,casual-spoken|polite-spoken|written-modern,none,common,N3,adverbial,,,high,,,A,<metta ni~nai>
tamaranai,tamaranai,たまらない,たまらない,can't stand it; unbearably (basis of 〜てたまらない),,casual-spoken|polite-spoken|written-modern,none,common,N3,modality,,,high,〜てたまらない 'unbearably' = te-tamaranai,,B|I,<naranai>
tame (ni),tame-ni,ために,ために,in order to (purpose); because of (reason),,casual-spoken|polite-spoken|written-modern,none,essential,N3,connective,,,high,purpose & reason ため(に),,A|B|I,<beku> ;; <koto de> ;; <sei> ;; <yue ni>
tame da,tame-da,ためだ,ためだ,it is because; the reason is that,,casual-spoken|polite-spoken|written-modern,none,common,N3,connective,tame-ni,,high,,,I,<koto ni yoru>
tan ni,tan-ni,単に,たんに,simply; merely,,polite-spoken|written-modern,none,common,N2,adverbial,,,high,,,A,
tan'i de,tani-de,単位で,たんいで,by units of; in units of,,polite-spoken|written-modern,none,uncommon,N2,particle,,,med,単位で 'in units of',,A,
tara,tara,たら,たら,if; when (conditional); how about (suggestion),,casual-spoken|polite-spoken|written-modern,none,essential,N4,conditional,ta-form,,high,,,B|I,<tokoro>
tara do desuka,tara-do-desuka,たらどうですか,たらどうですか,how about ~ing? (suggestion),,casual-spoken|polite-spoken,none,common,N4,modality,tara,,high,〜たらどうですか suggestion,,B,
tara ii ka,tara-ii-ka,たらいいか,たらいいか,what should I ~? (asking what would be good),,casual-spoken|polite-spoken|written-modern,none,common,N3,modality,tara,,high,,,A,<mono ka²>
tara ii no da ga,tara-ii-no-da-ga,たらいいのだが,たらいいのだが,I wish ~; it would be good if ~ (but),,casual-spoken|polite-spoken|written-modern,none,uncommon,N2,modality,tara,,med,wish 〜たらいいのだが,,A,<mono ka²>
tara ii noni,tara-ii-noni,たらいいのに,たらいいのに,I wish ~; if only ~ (regret/desire),,casual-spoken|polite-spoken|written-modern,none,common,N2,modality,tara,,high,,,A,<mono ka²>
tara sugu,tara-sugu,たらすぐ,たらすぐ,as soon as; right after ~ing,,casual-spoken|polite-spoken|written-modern,none,common,N3,connective,tara,,med,〜たらすぐ(に) 'as soon as',,I,<shidai>
tara sugu (ni),tara-sugu-2,たらすぐに,たらすぐに,as soon as; right after ~ing — duplicate entry,,casual-spoken|polite-spoken|written-modern,none,common,N3,connective,tara-sugu,,low,dup-suspect of tara-sugu,,A,<ya ina ya>
tari shitara,tari-shitara,たりしたら,たりしたら,if (one were to do) such things as ~,,casual-spoken|polite-spoken|written-modern,none,uncommon,N2,conditional,ta-form,,med,〜たりしたら hypothetical exemplar,,A,<yō mono nara>
taruya,taruya,たるや,たるや,as for; speaking of (literary topic-emphasis),,written-modern|literary,none,rare,N1,particle,,,med,literary 〜たるや topic-emphasis,,A,
tashika ni,tashika-ni,確かに,たしかに,certainly; indeed; admittedly,,casual-spoken|polite-spoken|written-modern,none,common,N3,adverbial,,,high,,,A|I,<ikanimo> ;; <naruhodo>
tashika ni ga,tashika-ni-ga,確かに〜が,たしかに〜が,admittedly ~ but (concessive pairing),,polite-spoken|written-modern,none,common,N3,connective,tashika-ni,,med,concessive frame 確かに...が,,I,
tatoete ieba,tatoete-ieba,たとえて言えば,たとえていえば,to use an analogy; figuratively speaking,,polite-spoken|written-modern,none,uncommon,N1,connective,,,high,,,A,<itte mireba>
tatta,tatta,たった,たった,only; merely; just (a small quantity),,casual-spoken|polite-spoken|written-modern,none,common,N3,adverbial,,,high,,,A|I,<tada> ;; <takaga>
te,te,て,て,"the て-form: links clauses, sequences actions, and forms soft requests",,casual-spoken|polite-spoken|written-modern,none,essential,N5,connective,,,high,〜て connective / request base form,,B,<kudasai>
te aru,te-aru,てある,てある,(something) has been done and remains so (resultant state),,casual-spoken|polite-spoken|written-modern,none,common,N4,aspect,te-form,,high,,,B,<aru '>
te bakari wa irarenai,te-bakari-wa-irarenai,てばかりはいられない,てばかりはいられない,can't keep just ~ing; can't afford to only ~,,casual-spoken|polite-spoken|written-modern,none,uncommon,N1,modality,te-form,,med,〜てばかりはいられない 'cannot keep only ~ing',,A,
te hajimete,te-hajimete,てはじめて,てはじめて,only after ~; not until ~ (did one),,casual-spoken|polite-spoken|written-modern,none,common,N2,connective,te-form,,high,,,I,
te hoshii,te-hoshii,てほしい,てほしい,want someone (else) to ~,,casual-spoken|polite-spoken|written-modern,none,common,N4,modality,te-form,,high,,,B,<hoshii '>
te iru,te-iru,ている,ている,be ~ing (progressive); resultant ongoing state,,casual-spoken|polite-spoken|written-modern,none,essential,N5,aspect,te-form,,high,,,B,<iru²>
te itadaku,te-itadaku,ていただく,ていただく,have someone do ~ (humble of てもらう),,polite-spoken|written-modern,kenjougo,common,N4,auxiliary,te-form|morau,,high,,,B,<morau²>
te kara,te-kara,てから,てから,after ~ing,,casual-spoken|polite-spoken|written-modern,none,essential,N5,connective,te-form,,high,,,B,<(no) ue de> ;; <kara²> ;; <te>
te kudasaru,te-kudasaru,てくださる,てくださる,someone kindly does ~ for me (honorific of てくれる),,polite-spoken|written-modern,sonkeigo,common,N4,auxiliary,te-form,,high,てくれる = kureru-2,,B,<kureru²>
te mo ii,te-mo-ii,てもいい,てもいい,may ~; it's all right to ~ (permission),,casual-spoken|polite-spoken|written-modern,none,essential,N5,modality,te-form,,high,,,B,
te moraitai,te-moraitai,てもらいたい,てもらいたい,want someone to ~ (= てほしい),,casual-spoken|polite-spoken|written-modern,none,common,N4,modality,morau,,high,cf te-hoshii,,B,<hoshii '>
te naranai,te-naranai,てならない,てならない,can't help feeling ~; unbearably ~,,polite-spoken|written-modern,none,uncommon,N2,modality,te-form,,high,cf te-tamaranai,,A,<te shikata ga nai>
te ne,te-ne,てね,てね,"(do) ~, okay? — soft request / sentence-final reminder",,casual-spoken|polite-spoken,none,common,N4,interjection,te-form,,med,〜てね soft request / sentence-final,,B,<ne>
te oku,te-oku,ておく,ておく,do ~ in advance / in preparation; leave ~ done,,casual-spoken|polite-spoken|written-modern,none,common,N4,aspect,te-form,,high,,,B,<oku>
te sashiageru,te-sashiageru,てさしあげる,てさしあげる,do ~ for someone (humble of てあげる),,polite-spoken|written-modern,kenjougo,uncommon,N3,auxiliary,ageru-2,,high,,,B,<ageru2>
te shikata ga nai,te-shikata-ga-nai,てしかたがない,てしかたがない,can't help (feeling) ~; extremely ~,,casual-spoken|polite-spoken|written-modern,none,common,N3,modality,te-form,,high,,,A|B,<(to i) ttara nai> ;; <tamaranai>
te shimau,te-shimau,てしまう,てしまう,do ~ completely; end up ~ing (often regrettably),,casual-spoken|polite-spoken|written-modern,none,essential,N4,aspect,te-form|shimau,,high,colloquial contraction = ちゃう/じゃう,,B,<shimau>
te tamaranai,te-tamaranai,てたまらない,てたまらない,unbearably ~; can't stand how ~,,casual-spoken|polite-spoken|written-modern,none,common,N3,modality,te-form|tamaranai,,high,cf te-shikata-ga-nai,,A|B,<(to i) ttara nai> ;; <tamaranai> ;; <te shikata ga nai>
te wa,te-wa,ては,ては,if/whenever ~ (then a bad result); repeated alternation,,casual-spoken|polite-spoken|written-modern,none,common,N2,connective,te-form,,high,,,A|I,<yōde wa>
te wa ikemasen,te-wa-ikemasen,てはいけません,てはいけません,must not ~ (polite prohibition),,polite-spoken,teineigo,essential,N5,modality,te-wa-ikenai,,high,,,A,<bekarazu/bekarazaru>
te wa ikenai,te-wa-ikenai,てはいけない,てはいけない,must not ~ (prohibition),,casual-spoken|polite-spoken|written-modern,none,essential,N5,modality,te-wa,,high,,,A|B|I,<Imperative> ;; <mono de wa nai> ;; <wa ikenai>
te wa irarenai,te-wa-irarenai,てはいられない,てはいられない,can't afford to keep ~ing; can't remain ~,,casual-spoken|polite-spoken|written-modern,none,uncommon,N2,modality,te-form,,high,,,A,
te wa naranai,te-wa-naranai,てはならない,てはならない,must not ~ (formal prohibition),,polite-spoken|written-modern,none,common,N2,modality,te-wa-ikenai,,high,formal variant of te-wa-ikenai,,B,<wa ikenai>
te yaru,te-yaru,てやる,てやる,do ~ for (an inferior/animal); (defiantly) I'll show them by ~ing,,casual-spoken|written-modern,none,common,N3,auxiliary,te-form,,high,,,B,<ageru2>
te yokatta,te-yokatta,てよかった,てよかった,I'm glad that ~; it was good that ~,,casual-spoken|polite-spoken|written-modern,none,common,N4,modality,te-form,,high,,,B,<ba yokatta>
ten (de),ten-de,点で,てんで,in the respect that; on the point of; regarding,,polite-spoken|written-modern,none,common,N2,particle,,,high,〜点で 'in terms of / regarding',,I,
to atte,to-atte,とあって,とあって,because (of the special circumstance that),,written-modern,none,uncommon,N1,connective,,,high,,,A,
to atte wa,to-atte-wa,とあっては,とあっては,if it's the case that; given that ~,,written-modern,none,uncommon,N1,conditional,to-atte,,high,,,A,
to bakari ni,to-bakari-ni,とばかりに,とばかりに,as if to say ~; as though ~,,written-modern|literary,none,uncommon,N1,connective,,,high,,,A,
to demo iu beki,to-demo-iu-beki,とでもいうべき,とでもいうべき,what one might call; so to speak,,written-modern|literary,none,rare,N1,modality,,,med,〜とでもいうべき 'what could be called',,A,
to dōji ni,to-douji-ni,と同時に,とどうじに,at the same time as; simultaneously; as well as,,polite-spoken|written-modern,none,common,N2,connective,,,high,,missing_only,A|I,<totan (ni)> ;; <ya ina ya>
to gyaku ni,to-gyaku-ni,と逆に,とぎゃくに,contrary to; conversely to,,polite-spoken|written-modern,none,uncommon,N2,connective,,,high,,,I,<ni hanshite/hansuru>
to ieba,to-ieba,といえば,といえば,speaking of ~; when it comes to ~,,casual-spoken|polite-spoken|written-modern,none,common,N3,connective,,,high,,,B|I,<to iu to>
to issho ni,to-issho-ni,と一緒に,といっしょに,together with,,casual-spoken|polite-spoken|written-modern,none,common,N4,connective,,,high,,,I,<to tomo ni>
